"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","LABCOMP","TOT","AGRWTH","A","1986",5.168118,
"AUS","LABCOMP","TOT","AGRWTH","A","1987",5.91559,
"AUS","LABCOMP","TOT","AGRWTH","A","1988",7.255069,
"AUS","LABCOMP","TOT","AGRWTH","A","1989",5.978699,
"AUS","LABCOMP","TOT","AGRWTH","A","1990",6.079851,
"AUS","LABCOMP","TOT","AGRWTH","A","1991",3.586468,
"AUS","LABCOMP","TOT","AGRWTH","A","1992",3.418437,
"AUS","LABCOMP","TOT","AGRWTH","A","1993",0.228511,
"AUS","LABCOMP","TOT","AGRWTH","A","1994",1.571415,
"AUS","LABCOMP","TOT","AGRWTH","A","1995",5.638907,
"AUS","LABCOMP","TOT","AGRWTH","A","1996",6.317504,
"AUS","LABCOMP","TOT","AGRWTH","A","1997",2.936678,
"AUS","LABCOMP","TOT","AGRWTH","A","1998",3.603119,
"AUS","LABCOMP","TOT","AGRWTH","A","1999",1.888843,
"AUS","LABCOMP","TOT","AGRWTH","A","2000",5.489816,
"AUS","LABCOMP","TOT","AGRWTH","A","2001",5.170809,
"AUS","LABCOMP","TOT","AGRWTH","A","2002",3.633427,
"AUS","LABCOMP","TOT","AGRWTH","A","2003",4.339512,
"AUS","LABCOMP","TOT","AGRWTH","A","2004",3.418583,
"AUS","LABCOMP","TOT","AGRWTH","A","2005",4.108214,
"AUS","LABCOMP","TOT","AGRWTH","A","2006",5.250178,
"AUS","LABCOMP","TOT","AGRWTH","A","2007",6.134464,
"AUS","LABCOMP","TOT","AGRWTH","A","2008",5.411867,
"AUS","LABCOMP","TOT","AGRWTH","A","2009",0.712343,
"AUS","LABCOMP","TOT","AGRWTH","A","2010",7.812029,
"AUS","LABCOMP","TOT","AGRWTH","A","2011",2.785226,
"AUS","LABCOMP","TOT","AGRWTH","A","2012",3.05415,
"AUS","LABCOMP","TOT","AGRWTH","A","2013",2.92095,
"AUS","LABCOMP","TOT","AGRWTH","A","2014",1.18262,
"AUS","LABCOMP","TOT","AGRWTH","A","2015",2.681952,
"AUS","LABCOMP","TOT","AGRWTH","A","2016",-0.260908,
"AUS","LABCOMP","TOT","AGRWTH","A","2017",1.896507,
"AUT","LABCOMP","TOT","AGRWTH","A","1996",-0.031777,
"AUT","LABCOMP","TOT","AGRWTH","A","1997",0.710362,
"AUT","LABCOMP","TOT","AGRWTH","A","1998",3.820385,
"AUT","LABCOMP","TOT","AGRWTH","A","1999",1.918016,
"AUT","LABCOMP","TOT","AGRWTH","A","2000",2.617126,
"AUT","LABCOMP","TOT","AGRWTH","A","2001",1.991982,
"AUT","LABCOMP","TOT","AGRWTH","A","2002",2.389616,
"AUT","LABCOMP","TOT","AGRWTH","A","2003",2.177083,
"AUT","LABCOMP","TOT","AGRWTH","A","2004",1.650115,
"AUT","LABCOMP","TOT","AGRWTH","A","2005",2.789058,
"AUT","LABCOMP","TOT","AGRWTH","A","2006",3.966906,
"AUT","LABCOMP","TOT","AGRWTH","A","2007",3.148747,
"AUT","LABCOMP","TOT","AGRWTH","A","2008",3.042324,
"AUT","LABCOMP","TOT","AGRWTH","A","2009",4.226997,
"AUT","LABCOMP","TOT","AGRWTH","A","2010",1.116817,
"AUT","LABCOMP","TOT","AGRWTH","A","2011",2.035219,
"AUT","LABCOMP","TOT","AGRWTH","A","2012",3.724269,
"AUT","LABCOMP","TOT","AGRWTH","A","2013",2.925548,
"AUT","LABCOMP","TOT","AGRWTH","A","2014",2.221137,
"AUT","LABCOMP","TOT","AGRWTH","A","2015",3.287842,
"AUT","LABCOMP","TOT","AGRWTH","A","2016",1.540303,
"AUT","LABCOMP","TOT","AGRWTH","A","2017",2.383763,
"AUT","LABCOMP","TOT","AGRWTH","A","2018",2.885297,
"AUT","LABCOMP","TOT","AGRWTH","A","2019",2.846941,
"BEL","LABCOMP","TOT","AGRWTH","A","1996",2.222327,
"BEL","LABCOMP","TOT","AGRWTH","A","1997",2.585498,
"BEL","LABCOMP","TOT","AGRWTH","A","1998",1.69565,
"BEL","LABCOMP","TOT","AGRWTH","A","1999",3.261917,
"BEL","LABCOMP","TOT","AGRWTH","A","2000",1.132679,
"BEL","LABCOMP","TOT","AGRWTH","A","2001",3.996253,
"BEL","LABCOMP","TOT","AGRWTH","A","2002",3.707888,
"BEL","LABCOMP","TOT","AGRWTH","A","2003",1.414781,
"BEL","LABCOMP","TOT","AGRWTH","A","2004",2.113562,
"BEL","LABCOMP","TOT","AGRWTH","A","2005",2.375336,
"BEL","LABCOMP","TOT","AGRWTH","A","2006",3.01447,
"BEL","LABCOMP","TOT","AGRWTH","A","2007",3.401708,
"BEL","LABCOMP","TOT","AGRWTH","A","2008",4.300984,
"BEL","LABCOMP","TOT","AGRWTH","A","2009",2.989028,
"BEL","LABCOMP","TOT","AGRWTH","A","2010",1.303233,
